,trade_dt,close
723,20180124,3.172
724,20180125,3.15
725,20180126,3.171
726,20180129,3.114
727,20180130,3.075
728,20180131,3.113
729,20180201,3.134
730,20180202,3.145
731,20180205,3.18
732,20180206,3.11
733,20180207,3.023
734,20180208,2.939
735,20180209,2.803
736,20180212,2.8
737,20180213,2.848
738,20180214,2.866
739,20180222,2.925
740,20180223,2.955
741,20180226,2.965
742,20180227,2.92
743,20180228,2.871
744,20180301,2.884
745,20180302,2.856
746,20180305,2.855
747,20180306,2.888
748,20180307,2.871
749,20180308,2.893
750,20180309,2.903
751,20180312,2.905
752,20180313,2.873
753,20180314,2.863
754,20180315,2.89
755,20180316,2.862
756,20180319,2.892
757,20180320,2.895
758,20180321,2.884
759,20180322,2.857
760,20180323,2.781
761,20180326,2.734
762,20180327,2.739
763,20180328,2.688
764,20180329,2.734
765,20180330,2.713
766,20180402,2.702
767,20180403,2.693
768,20180404,2.694
769,20180409,2.711
770,20180410,2.775
771,20180411,2.775
772,20180412,2.742
773,20180413,2.717
774,20180416,2.655
775,20180417,2.626
776,20180418,2.643
777,20180419,2.676
778,20180420,2.637
779,20180423,2.658
780,20180424,2.718
781,20180425,2.693
782,20180426,2.655
783,20180427,2.642
784,20180502,2.646
785,20180503,2.654
786,20180504,2.634
787,20180507,2.674
788,20180508,2.714
789,20180509,2.711
790,20180510,2.723
791,20180511,2.716
792,20180514,2.745
793,20180515,2.74
794,20180516,2.705
795,20180517,2.689
796,20180518,2.733
797,20180521,2.736
798,20180522,2.717
799,20180523,2.672
800,20180524,2.655
801,20180525,2.654
802,20180528,2.668
803,20180529,2.655
804,20180530,2.601
805,20180531,2.651
806,20180601,2.643
807,20180604,2.686
808,20180605,2.696
809,20180606,2.686
